type;title;publi;date;place;auteur
article;Characterizing urban shapes by the use of data analysis and clustering techniques (rédigé);;;;Nadia Maïzi
article;URBAN-TEMPÊST, a convolutional neural network to estimate land surface temperature from urban and buildings characteristics (en cours de rédaction);;;;Nadia Maïzi
article;TIMES-URBAN, a long-term prospective model to tackle environmental urban planning issues: an application to a French city (rédigé);;;;Nadia Maïzi
poster;Combined assessment of energy systems and urban planning to evaluate the long-term impact of urban development;Energy and Society in Transition: 2nd International Conference on Energy Research and Social Science;2019-05-28;Tempe, United States;Edi Assoumou, Nadia Maïzi
poster;La modélisation prospective au service de l'urbanisme;10 ans de la chaire Modélisation Prospective au service du développement durable;2018-09-11;Paris, France;Nadia Maïzi
conference;Using neural network to estimate the temperature in 2050 from urban land use and buildings evolution;SophI.A Summit;2020-11-18;Sophia-Antipolis, France;Valérie Roy, Nadia Maïzi
conference;Applying big data and statistics techniques to create urban archetypes for long-term modelling;SophI.A Summit;2020-11-18;Sophia-Antipolis, France;Nadia Maïzi
conference;On the use of macro indicators to evaluate the sustainability of urban development;The 26th International Sustainable Development Research Society Conference : Sustainability in Transforming Societies;2020-07-16;Budapest, Hungary;Nadia Maïzi
conference;Long-term assessment for sustainable evolution of cities: combining land-use and building allocation with an energy system model;38th International Energy Workshop (IEW);2019-06-03;Paris, France;Mélusine Hucault, Nadia Maïzi
conference;TIMES and prospective modelling for urban planning: Study on the evaluation of urban transformation scenarios that respond to both energy, climate and socio-cultural issues;73rd Semi-annual ETSAP meeting (IEA-ETSAP, Chalmers University);2018-06-16;Göteborg, Sweden;Nadia Maïzi
conference;Using TIMES on non-energetic purposes;1st International Summer School on prospective modeling and energy transition (CMA MINES ParisTech, Lulea University of Technology, IEA-ETSAP);2019-07-10;Sophia-Antipolis, France;Nadia Maïzi
these;Éclairer le long terme des villes par une approche prospective : ce que disent nos modèles de la métropole de Bordeaux;PSL Research University, MINES ParisTech;2021-07-02;Paris, France;
conference;Exercice de prospective à l'échelle urbaine;Journée EDF - Chaire Modélisation Prospective au service du Développement Durable sur la Dimension territoriale de la transition énergétique;2019-11-06;Palaiseau, France;Nadia Maïzi
autre; Prospective en milieu urbain;MINES ParisTech Research Day 2019;2019-07-02;Paris, France;Damien Goetz, Nadia Maïzi 
autre;La ville vue par les données : comment choisir l'avenir à partir du présent;Pint of Science;2019-05-22;Nice, France;